TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern4,48,0.5641294,0.3908854,0.2431586,17.81299,120891.2,False,0.3202329,10690.55,32,0,0,0,0
2,Pattern5,64,0.558484,0.1993583,0.276418,20.56232,36255.76,False,0.4239355,4802.863,31,0,0,0,0
3,Pattern3,32,0.5378814,0.5697675,0.231174,16.85388,65011.88,False,0.2205099,5879.096,26,0,0,0,0
4,Pattern8,128,0.558488,0.5826256,0.2327941,17.01111,18075.19,False,0.2205099,4580.591,22,0,0,0,0
5,Pattern9,144,0.4639688,0.9137157,0.2773093,20.74345,30406.47,True,0.01717798,5291.262,25,0,0,0,0
6,Pattern7,112,0.05983015,3.6856,0.1793101,12.95959,9451.828,False,0.1624346,1735.289,5,0,0,0,0
7,Pattern1,5,0.5726047,0.8505157,0.2404642,18.157,93163.13,True,0.03489552,9372.072,31,0,0,0,0
8,Pattern10,155,0.5613737,0.8675312,0.1869361,14.17555,11670.91,True,0.03489559,3526.475,16,0,0,0,0
9,Pattern2,16,0.558459,0.7591165,0.1716621,12.60464,47067.55,False,0.1113385,5910.696,15,0,0,0,0
10,Pattern6,96,0.02760886,4.032712,0.1245814,8.960181,6537.368,False,0.138607,941.2557,7,0,0,0,0
