TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern10,155,0.6588106,0.7870219,0.3683665,28.33101,249158,False,0.1781397,23616.42,36,0,0,0,0
2,Pattern4,48,0.7418516,0.2875221,0.2073039,15.09867,128545.7,False,0.3253894,12328.17,35,0,0,0,0
3,Pattern7,112,0.8838978,0.449659,0.5691971,45.77059,30892.41,False,0.4476295,6622.744,39,0,0,0,0
4,Pattern9,144,0.768193,0.3779551,0.3320978,24.94707,524362.6,False,0.1603859,48920.73,48,0,0,0,0
5,Pattern6,96,0.8379924,0.1260792,0.183793,13.32357,72155.98,False,0.08782633,8257.724,42,0,0,0,0
6,Pattern1,5,0.5535904,0.8558269,0.1615639,12.04421,10804.7,True,0.03489552,3514.513,25,0,0,0,0
7,Pattern3,32,0.2796406,1.163598,0.1706577,12.44509,36401.39,False,0.05541627,3524.049,22,0,0,0,0
8,Pattern2,16,0.3178327,1.318245,0.3151827,23.36627,12677.08,False,0.1208392,3022.228,34,0,0,0,0
9,Pattern5,64,0.4335151,0.2571813,0.1630006,11.82968,8228.072,False,0.2719041,2367.712,23,0,0,0,0
10,Pattern8,128,0.455322,0.7146359,0.5033958,39.15973,143072.9,False,0.5193632,14159.18,46,0,0,0,0
