TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern4,48,0.3933272,0.5568958,0.1577469,11.39472,48468.58,False,0.1701465,4332.867,27,0,0,0,0
2,Pattern6,96,0.2337551,0.4763043,0.1009787,7.253047,27221.53,False,0.0985804,3816.002,20,0,0,0,0
3,Pattern9,144,0.298492,1.420257,0.3026231,22.57243,31300.96,False,0.1543005,3278.975,18,0,0,0,0
4,Pattern7,112,0.04132373,5.336159,0.2050889,14.85738,2574.145,False,0.1897474,576.0852,23,0,0,0,0
5,Pattern3,32,0.3272946,0.994179,0.1212126,8.859972,17803.54,True,0.009487266,2084.327,48,0,0,0,0
6,Pattern2,16,0.1950321,2.171387,0.3159759,23.41203,8938.513,False,0.2471368,1352.213,24,0,0,0,0
7,Pattern5,64,0.338456,0.3266779,0.1277357,9.227522,12126.97,False,0.2247764,1769.667,39,0,0,0,0
8,Pattern10,155,0.1542018,3.167637,0.432049,32.8156,15651.05,False,0.3580417,1661.859,28,0,0,0,0
9,Pattern1,5,0.5585,0.8719951,0.3170097,23.95956,28630.97,True,0.03489552,3545.151,56,0,0,0,0
10,Pattern8,128,0.2928433,1.07608,0.1596314,11.64757,10645.83,False,0.07262722,1988.23,26,0,0,0,0
