TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern8,128,0.5584982,0.582615,0.2134334,15.6161,11566.2,False,0.2205099,3636.352,3,0,0,0,0
2,Pattern7,112,0.2419537,0.9107152,0.1986677,14.44754,1378809,False,0.1195154,93860.9,4,0,0,0,0
3,Pattern10,155,0.625833,0.8054269,0.5041026,39.34306,27506.03,False,0.3276616,5529.388,4,0,0,0,0
4,Pattern1,5,0.3463641,1.406062,0.431711,32.90805,15572.33,False,0.175785,4027.697,3,0,0,0,0
5,Pattern6,96,0.1421031,0.7324124,0.07341018,5.275396,261344.2,True,0.001546287,17980.66,4,0,0,0,0
6,Pattern2,16,0.1674742,2.531349,0.3770308,28.18262,13837.74,False,0.2736884,2759.681,2,0,0,0,0
7,Pattern9,144,0.8774045,0.5356974,0.3888321,29.49063,371790.8,True,0.04271319,25898.98,4,0,0,0,0
8,Pattern5,64,0.5831648,0.1909211,0.2585379,19.27927,23076.35,False,0.4239355,6415.783,3,0,0,0,0
9,Pattern3,32,0.4998569,0.6509651,0.2119512,15.51486,24960.63,False,0.1636098,6120.836,2,0,0,0,0
10,Pattern4,48,0.2317017,0.9516977,0.09157498,6.634006,23949.2,True,0.008304892,4340.925,4,0,0,0,0
