TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern10,155,0.5584798,0.8720266,0.5839675,49.26844,92540.15,False,0.7810369,10872.28,24,0,0,0,0
2,Pattern2,16,0.4220661,1.004429,0.2333733,17.38199,62202.87,False,0.06098876,7659.777,21,0,0,0,0
3,Pattern6,96,0.03056891,3.642216,0.1092432,7.848689,7747.391,False,0.1081458,1309.899,15,0,0,0,0
4,Pattern4,48,0.4430214,0.4977411,0.202569,14.68491,41920.29,False,0.2169303,4801.476,14,0,0,0,0
5,Pattern1,5,0.008694271,56.01497,0.4840025,37.22958,5568.667,False,0.480083,628.639,9,0,0,0,0
6,Pattern9,144,0.1377818,3.076862,0.4659959,35.71593,191748.7,False,0.5304255,17839.56,9,0,0,0,0
7,Pattern7,112,0.5749196,0.3835492,0.2315336,16.91007,50330.84,False,0.3253894,8757.934,23,0,0,0,0
8,Pattern8,128,0.2396722,1.357643,0.2025471,14.80919,40813.73,False,0.1046073,5846.464,13,0,0,0,0
9,Pattern3,32,0.4057491,0.722093,0.1605306,11.66405,44676.91,False,0.1055179,7082.887,12,0,0,0,0
10,Pattern5,64,0.1457381,0.7639627,0.1338114,9.633342,27566.2,False,0.1229199,4231.825,14,0,0,0,0
