TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern2,16,0.5771968,0.7616731,0.1636411,12.07356,90960.26,False,0.1113385,8876.68,32,0,0,0,0
2,Pattern8,128,0.5594535,0.5816202,0.1394182,10.09309,101908.9,False,0.1360846,10119.56,47,0,0,0,0
3,Pattern7,112,0.3179823,0.6933536,0.1207812,8.728955,12505.95,False,0.09440288,2602.308,37,0,0,0,0
4,Pattern3,32,0.462445,0.7036284,0.2033953,14.91212,25751.55,True,0.04168389,5113.509,35,0,0,0,0
5,Pattern6,96,0.555374,0.1949053,0.2120054,15.76764,9216.729,False,0.4239355,2081.602,44,0,0,0,0
6,Pattern5,64,0.1915841,0.5811762,0.1535999,11.09408,11722.36,False,0.2283126,1824.763,31,0,0,0,0
7,Pattern10,155,0.5350798,0.8750719,0.2039966,15.3278,103840.4,True,0.03489559,10785.96,32,0,0,0,0
8,Pattern4,48,0.2008069,1.132414,0.2008361,14.54944,35506.63,False,0.2057196,3788.915,29,0,0,0,0
9,Pattern1,5,0.2807022,1.734967,0.501045,38.80401,15448.73,False,0.4667465,3506.412,39,0,0,0,0
10,Pattern9,144,0.5541225,0.7583553,0.1491131,10.87854,18201.24,False,0.1113385,3637.089,26,0,0,0,0
