Timestamp,TargetShoulderPitch,TargetElbowAngle,TargetPosX,TargetPosY,TargetPosZ,ActualPosX,ActualPosY,ActualPosZ,ActualShoulderPitch,ActualElbowAngle,PositionError,JointSpaceError,ShoulderPitchVel,ElbowVel,ShoulderPitchJerk,ElbowJerk,PathLength,OptimalPathLength,PathEfficiency
0.004821777,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,10972.83,0,0,0,0,1.090064,1090.064
0.007831573,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.01074409,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.01473427,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.01925087,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.02370644,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.02587891,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.02959824,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.0317955,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.03414536,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.03755569,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.04057121,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.04276466,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.04520226,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.04846001,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.05114174,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.05354309,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.05614853,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.05834961,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.06040001,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.06321335,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.06555748,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.06780243,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.07008743,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.07246971,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.07517815,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.07759285,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.08061981,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.08328629,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.08558464,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.08811378,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.09034157,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.09270859,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.09556198,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
0.09815788,-12,24,0.1013053,0.4241567,0.2660375,0.264,-0.6536835,0.2716394,75,0,1.090064,55.5,0,0,0,0,0,1.090064,1090.064
