TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern9,144,0.5584772,0.7590919,0.2589116,19.26456,31867.26,False,0.1113385,4373.464,22,0,0,0,0
2,Pattern5,64,0.6224748,0.1788642,0.2375419,17.69599,48054.52,False,0.3607388,8548.172,28,0,0,0,0
3,Pattern1,5,0.2618822,1.85965,0.5868145,47.79602,30691.18,False,0.6645805,3879.525,22,0,0,0,0
4,Pattern7,112,0.09389544,2.348463,0.2017621,14.61324,13364.92,False,0.2239474,1939.337,18,0,0,0,0
5,Pattern4,48,0.105655,2.087075,0.1572383,11.35322,11018.45,False,0.1173223,1611.378,27,0,0,0,0
6,Pattern3,32,0.3286096,0.9902005,0.1655783,12.05885,65979.8,True,0.04752071,6691.741,27,0,0,0,0
7,Pattern10,155,0.3230417,1.504221,0.3871055,29.3428,15196.72,False,0.2227397,2695.317,26,0,0,0,0
8,Pattern2,16,0.6144544,0.6896492,0.2747291,20.55141,32876.25,True,0.0161087,5445.284,45,0,0,0,0
9,Pattern6,96,0.09171287,1.201258,0.07614054,5.465477,6051.818,False,0.06764926,1510.827,13,0,0,0,0
10,Pattern8,128,0.5213976,0.5951198,0.2098507,15.29857,235120.5,False,0.2005965,21926.61,26,0,0,0,0
