TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern5,64,0.5161166,0.3214033,0.2854916,20.98384,227996.7,False,0.3286249,20202.38,29,0,0,0,0
2,Pattern2,16,0.4506384,0.9407442,0.3328797,24.86103,79598.3,False,0.2119131,8501.086,43,0,0,0,0
3,Pattern3,32,0.5642445,0.5859874,0.2111549,15.44034,41208.73,False,0.2205099,5816.647,22,0,0,0,0
4,Pattern8,128,0.1871891,1.738807,0.3991812,30.06323,9752.654,False,0.4778715,2424.726,24,0,0,0,0
5,Pattern10,155,0.5731559,0.963411,0.6101588,50.17127,51838.44,False,0.5892209,6114.245,50,0,0,0,0
6,Pattern7,112,0.1686818,1.313504,0.2644414,19.31518,8162.346,False,0.286246,1970.962,29,0,0,0,0
7,Pattern6,96,0.04025813,2.765617,0.1216791,8.749501,6448.557,False,0.1528733,1251.029,13,0,0,0,0
8,Pattern1,5,0.5027494,0.8810788,0.196957,14.73175,19340.08,True,0.04586949,4059.334,29,0,0,0,0
9,Pattern4,48,0.09389942,2.259363,0.1880432,13.59915,79221.91,False,0.1731904,6913.813,21,0,0,0,0
10,Pattern9,144,0.1969829,2.152144,0.4628408,35.37292,13985.74,False,0.4833446,2442.545,36,0,0,0,0
