TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern6,96,0.5584919,0.1993557,0.1637031,12.01232,9568.132,False,0.4239355,1340.042,23,0,0,0,0
2,Pattern7,112,0.5584962,0.3948281,0.220636,16.09698,9082.744,False,0.3253894,1810.944,28,0,0,0,0
3,Pattern1,5,0.1143299,4.259683,0.4446986,33.85445,8166.319,False,0.3913382,1713.265,18,0,0,0,0
4,Pattern5,64,0.5563956,0.1964299,0.1780082,13.12009,19099.97,False,0.4239355,3588.903,15,0,0,0,0
5,Pattern9,144,0.1508614,2.810099,0.413097,31.11579,4751.347,False,0.2862531,707.2183,18,0,0,0,0
6,Pattern8,128,0.5584915,0.582622,0.2437557,17.83774,8298.719,False,0.2205099,2049.188,26,0,0,0,0
7,Pattern10,155,0.5584646,0.8720503,0.6766942,62.71722,24087.65,False,0.7810369,4804.278,15,0,0,0,0
8,Pattern4,48,0.7640485,0.5349559,0.3410792,25.42785,343823.9,False,0.3253894,29708.67,21,0,0,0,0
9,Pattern3,32,0.5584645,0.5826501,0.2704932,19.85006,16778.95,False,0.2205099,3480.463,16,0,0,0,0
10,Pattern2,16,0.4437523,1.036404,0.4122761,31.28675,30651.4,True,0.03751711,3294.876,24,0,0,0,0
