TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern3,32,0.5605808,0.5822225,0.2249998,16.40182,24673.38,False,0.2197974,6687.84,22,0,0,0,0
2,Pattern10,155,0.5584869,0.8720154,0.2375741,18.0159,62981.3,True,0.03489559,7433.69,23,0,0,0,0
3,Pattern5,64,0.232777,0.497221,0.1038645,7.461972,29075.61,False,0.1042114,4104.076,16,0,0,0,0
4,Pattern1,5,0.5588463,0.8714548,0.2508433,18.97153,20603.25,True,0.03489552,4830.192,28,0,0,0,0
5,Pattern7,112,0.2317681,0.951425,0.08004419,5.789648,7714.284,True,0.008366707,1605.67,23,0,0,0,0
6,Pattern9,144,0.2433243,1.742266,0.3157611,23.4371,8278.713,False,0.2012926,1894.845,31,0,0,0,0
7,Pattern8,128,0.1840488,1.767952,0.2420967,17.6916,11032.26,False,0.1501578,1840.017,26,0,0,0,0
8,Pattern4,48,0.4725539,0.4666345,0.2022625,14.67841,36165.19,False,0.2451587,4717.162,23,0,0,0,0
9,Pattern6,96,0.1434067,0.7763829,0.04493824,3.225486,6144.905,True,0.03300771,1461.223,15,0,0,0,0
10,Pattern2,16,0.5584921,0.7590715,0.2226201,16.53569,19283.76,False,0.1113385,4841.671,21,0,0,0,0
