TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern7,112,0.4798985,0.4594502,0.2906905,21.48631,15503.88,False,0.509105,3790.317,56,0,0,0,0
2,Pattern3,32,0.3440372,0.929677,0.2230785,16.37486,14815.76,True,0.008761866,3894.02,23,0,0,0,0
3,Pattern1,5,0.5584875,0.8720145,0.3287818,24.91063,30099,True,0.03489552,4651.69,36,0,0,0,0
4,Pattern9,144,0.5776519,0.7343019,0.5592032,47.65903,34904.16,False,0.7602588,7596.226,24,0,0,0,0
5,Pattern4,48,0.2157088,1.022257,0.07646946,5.517201,63431.56,True,0.01328491,5585.801,21,0,0,0,0
6,Pattern8,128,0.622825,0.5150065,0.4637561,36.12584,425309.5,False,0.5581003,37550.51,39,0,0,0,0
7,Pattern10,155,0.1522355,3.199051,0.4832914,37.18573,39941.78,False,0.4824466,4257.941,20,0,0,0,0
8,Pattern5,64,0.6253966,0.06687957,0.1084347,7.972345,172690.3,False,0.3902989,16592.07,39,0,0,0,0
9,Pattern6,96,0.3162756,0.3528277,0.204899,14.86737,106783.7,False,0.09226009,9348.174,26,0,0,0,0
10,Pattern2,16,0.4977205,0.7412919,0.1896311,13.81529,68592.03,False,0.1113385,8909.719,17,0,0,0,0
