TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern8,128,0.2975066,1.094264,0.167207,12.2498,22841.13,True,0.04142596,3443.026,29,0,0,0,0
2,Pattern7,112,0.3619785,0.6091797,0.1501676,10.85306,133902.6,False,0.08764727,10387.51,33,0,0,0,0
3,Pattern10,155,0.3315912,1.46929,0.3420813,25.71826,10374.34,False,0.2021924,1946.855,42,0,0,0,0
4,Pattern5,64,0.4312976,0.2714547,0.1809169,13.19456,28430.46,False,0.3058171,3496.86,32,0,0,0,0
5,Pattern9,144,0.5390494,0.7864503,0.2271483,16.93233,33568.1,False,0.08015057,3540.217,26,0,0,0,0
6,Pattern1,5,0.3560527,1.367801,0.3680908,27.79624,4868.868,False,0.1662715,1266.965,44,0,0,0,0
7,Pattern3,32,0.1064068,3.057976,0.2728173,19.96722,4657.474,False,0.2257021,1064.568,35,0,0,0,0
8,Pattern6,96,0.1427429,0.7799934,0.05770558,4.143678,10933.92,True,0.01054507,1878.617,13,0,0,0,0
9,Pattern2,16,0.4676487,0.9065254,0.2300132,17.14985,12564.57,True,0.01183917,2524.895,48,0,0,0,0
10,Pattern4,48,0.1587218,1.389285,0.1360716,9.832425,13044.86,False,0.06460954,1670.375,25,0,0,0,0
