TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern9,144,0.5584666,0.7591063,0.3280018,24.49607,95990.98,False,0.1113385,10572.07,25,0,0,0,0
2,Pattern1,5,0.3806902,1.27928,0.2719848,20.16205,14340.62,False,0.1416586,2031.124,33,0,0,0,0
3,Pattern10,155,0.06715626,7.251882,0.5071663,39.36179,4012.709,False,0.5335962,893.6196,24,0,0,0,0
4,Pattern5,64,0.5584923,0.1993554,0.2759009,20.47314,14659.33,False,0.4239355,3956.408,33,0,0,0,0
5,Pattern3,32,0.1087588,2.991843,0.2581066,18.84896,4757.573,False,0.2233296,1025.33,21,0,0,0,0
6,Pattern4,48,0.1664497,1.324785,0.129163,9.310188,5243.015,False,0.05690428,1221.546,36,0,0,0,0
7,Pattern7,112,0.5384656,0.4116163,0.2260916,16.47861,10622.2,False,0.3058932,2322.575,21,0,0,0,0
8,Pattern2,16,0.06662893,6.362633,0.3830211,28.62199,5171.825,False,0.3669669,970.1223,17,0,0,0,0
9,Pattern8,128,0.2231181,1.647545,0.5108213,39.70822,632883.3,False,0.4876188,57390.1,19,0,0,0,0
10,Pattern6,96,0.0004629411,111.3385,0.1117079,8.026709,671.3715,False,0.111797,92.94368,0,0,0,0,0
