TrialNumber,PatternName,TargetJoint1,TargetJoint2,MovementTime,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,Completed
1,Pattern1,42,118,4.002405,0,746.6212,0.7466112,80,0,True
2,Pattern2,-12,24,4.001532,0,233.2968,0.2332986,18,0,True
3,Pattern3,68,155,4.001522,0,804.6857,0.8046874,111.5,0,True
4,Pattern4,0,92,4.001549,0,575.4719,0.5754735,46,0,True
5,Pattern5,-22,47,4.00193,0,424.4356,0.4244383,34.5,0,True
6,Pattern6,55,103,4.002842,0.8733116,0.8895509,0.554673,55.87416,2.133407E+08,True
7,Pattern7,18,5,4.001282,0.9068751,0.2784068,0.06040289,3.401698,3.56832E+09,True
8,Pattern8,-5,129,4.002804,0.2682794,2.693808,0.7226846,67,4.286083E+09,True
9,Pattern9,31,81,4.000755,1.025435,0.5977036,0.295754,25.56449,4.237539E+08,True
10,Pattern10,70,14,4.001343,1.752271,0.5227987,0.1912168,10.23854,2.3631E+10,True
