TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern5,64,0.5580949,0.1988467,0.3903149,29.40362,969973.6,False,0.4239355,86673.08,11,0,0,0,0
2,Pattern1,5,0.5584926,0.8720067,0.12805,9.507917,626939.6,True,0.03489552,58257.93,23,0,0,0,0
3,Pattern10,155,0.5812794,0.8657318,0.2652715,20.23226,42015.69,True,0.03489559,7424.513,17,0,0,0,0
4,Pattern6,96,0.1386725,0.8028887,0.09911371,7.120629,11994.82,True,0.02696758,2365.148,8,0,0,0,0
5,Pattern2,16,0.5276129,0.8034971,0.2260564,16.83257,8296.943,False,0.08324996,2375.699,47,0,0,0,0
6,Pattern4,48,0.4841533,0.4554547,0.1457593,10.54192,22859.78,False,0.2561605,2928.025,55,0,0,0,0
7,Pattern7,112,0.1073962,2.064057,0.2003267,14.51429,17206.63,False,0.116796,1964.993,14,0,0,0,0
8,Pattern3,32,0.5584936,0.5826198,0.2086046,15.18268,130410.6,False,0.2205099,12795.87,41,0,0,0,0
9,Pattern9,144,0.5575055,0.7587549,0.3286169,24.54919,14393.32,False,0.1112309,4593.832,30,0,0,0,0
10,Pattern8,128,0.2278016,1.42839,0.2231823,16.32934,12453.47,False,0.1069786,2944.642,12,0,0,0,0
