Timestamp,TrialNumber,TargetShoulderPitch,TargetShoulderYaw,TargetElbowAngle,TargetPosX,TargetPosY,TargetPosZ,ActualPosX,ActualPosY,ActualPosZ,ActualShoulderPitch,ActualShoulderYaw,ActualElbowAngle,PositionError,JointSpaceError,ShoulderPitchVel,ShoulderYawVel,ElbowVel,ShoulderPitchJerk,ShoulderYawJerk,ElbowJerk,PathLength,OptimalPathLength,PathEfficiency
0,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20571,0,64.20571,1.043438,27.44659,3210.286,0,3210.286,160514.3,0,160514.3,0,1.043438,1043.438
0.02,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20573,0,0,1.043438,48.84849,-157304,0,-160514.3,8025715,0,8186229,0,1.043438,1043.438
0.0672364,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20573,3.924123E-06,0,1.043438,48.84849,3331503,8.307413E-05,3398106,7.385844E+07,0.001758689,7.533638E+07,0,1.043438,1043.438
0.0741464,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20573,-3.924123E-06,0,1.043438,48.84849,-4.821185E+08,-0.0125902,-4.917664E+08,7.025325E+10,1.834048,7.165911E+10,0,1.043438,1043.438
0.0768233,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20574,-7.848247E-06,0,1.043438,48.84849,1.801033E+11,4.700343,1.837074E+11,6.746065E+13,1760.594,6.881063E+13,0,1.043438,1043.438
0.0800905,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20576,-1.56965E-05,0,1.043438,48.84849,-5.512466E+13,-1438.65,-5.622778E+13,1.692727E+16,441769.9,1.7266E+16,0,1.043438,1043.438
0.0840911,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20577,-1.177238E-05,0,1.043438,48.84848,1.37791E+16,359608.7,1.405484E+16,3.458037E+18,9.024829E+07,3.527237E+18,0,1.043438,1043.438
0.0875157,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20578,-1.177239E-05,0,1.043438,48.84848,-4.023564E+18,-1.050075E+08,-4.104081E+18,1.178924E+21,3.076771E+10,1.202516E+21,0,1.043438,1043.438
0.0907811,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20579,-1.177239E-05,0,1.043438,48.84848,1.232181E+21,3.215762E+10,1.256839E+21,3.785768E+23,9.880145E+12,3.861527E+23,0,1.043438,1043.438
0.0937744,1,80.05361,28.72699,101.9706,0.3348364,0.4813784,-0.3959059,0.412,0.823,0.587,64.20578,-1.177239E-05,0,1.043438,48.84848,-4.116464E+23,-1.07432E+13,-4.19884E+23,1.379342E+26,3.599825E+15,1.406945E+26,0,1.043438,1043.438
