Timestamp,TrialNumber,TargetShoulderPitch,TargetElbowAngle,TargetPosX,TargetPosY,TargetPosZ,ActualPosX,ActualPosY,ActualPosZ,ActualShoulderPitch,ActualElbowAngle,PositionError,JointSpaceError,ShoulderPitchVel,ElbowVel,ShoulderPitchJerk,ElbowJerk,PathLength,OptimalPathLength,PathEfficiency
0,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20571,64.20571,0.6002713,24.72538,3210.286,3210.286,160514.3,160514.3,0,0.6002713,600.2712
0.02,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20573,0,0.6002713,56.82823,-157304,-160514.3,8025715,8186229,0,0.6002713,600.2712
0.0717209,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20573,0,0.6002713,56.82823,3042643,3103471,6.186951E+07,6.310766E+07,0,0.6002713,600.2712
0.0862644,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20573,0,0.6002713,56.82823,-2.092054E+08,-2.133923E+08,1.459401E+10,1.488608E+10,0,0.6002713,600.2712
0.0934488,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20574,0,0.6002713,56.82825,2.91194E+10,2.970217E+10,4.082262E+12,4.163961E+12,0,0.6002713,600.2712
0.1009055,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20576,0,0.6002713,56.82825,-3.905133E+12,-3.983286E+12,5.27613E+14,5.381722E+14,0,0.6002713,600.2712
0.1061051,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20577,0,0.6002713,56.82826,7.510448E+14,7.660755E+14,1.451939E+17,1.480996E+17,0,0.6002713,600.2712
0.1110716,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-1.512221E+17,-1.542485E+17,3.059965E+19,3.121204E+19,0,0.6002713,600.2712
0.115307,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,3.570434E+19,3.641889E+19,8.465684E+21,8.635108E+21,0,0.6002713,600.2712
0.1195365,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-8.441739E+21,-8.610684E+21,2.004361E+24,2.044474E+24,0,0.6002713,600.2712
0.1245248,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,1.692308E+24,1.726176E+24,3.409477E+26,3.477711E+26,0,0.6002713,600.2712
0.1295161,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-3.390515E+26,-3.45837E+26,6.826755E+28,6.963379E+28,0,0.6002713,600.2712
0.1336808,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,8.141078E+28,8.304007E+28,1.962923E+31,2.002207E+31,0,0.6002713,600.2712
0.1380212,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-1.875652E+31,-1.913189E+31,4.340136E+33,4.426996E+33,0,0.6002713,600.2712
0.1423524,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,4.330559E+33,4.417227E+33,1.004183E+36,1.024279E+36,0,0.6002713,600.2712
0.1467571,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-9.831678E+35,-1.002844E+36,2.24192E+38,2.286788E+38,0,0.6002713,600.2712
0.1505788,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,2.572593E+38,2.624078E+38,Infinity,Infinity,0,0.6002713,600.2712
0.1554258,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.1601273,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.1641946,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.1691414,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.1726791,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.1770243,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.1809219,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.1854904,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.1902643,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.1949711,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2004246,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2053875,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2099991,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2143971,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2184953,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2221375,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2273877,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2319389,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2369832,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2408167,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.246033,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2501291,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2551082,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2597165,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2643609,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2697966,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2751519,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2809487,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2861602,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2914338,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.2968177,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20578,0,0.6002713,56.82826,-Infinity,-Infinity,Infinity,Infinity,0,0.6002713,600.2712
0.3018034,1,22.4545,71.90524,0.4143,0.400775,0.1603311,0.412,0.823,0.587,64.20579,0,0.6002713,56.82826,Infinity,Infinity,Infinity,Infinity,0,0.6002713,600.2712
