TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern4,48,0.5584765,0.3948419,0.2374586,17.34698,89203.91,False,0.3253894,10705.43,17,0,0,0,0
2,Pattern8,128,0.4058439,0.80176,0.4235963,32.49844,84914.48,False,0.6066744,10169.64,23,0,0,0,0
3,Pattern3,32,0.5584671,0.5826473,0.2380894,17.3745,56336.79,False,0.2205099,7952.625,15,0,0,0,0
4,Pattern5,64,0.1673272,0.6653937,0.08442847,6.062104,18684.32,False,0.05558317,2915.051,13,0,0,0,0
5,Pattern2,16,0.1358729,3.120089,0.4094933,30.81025,54476.34,False,0.4290403,5165.501,13,0,0,0,0
6,Pattern9,144,0.4833471,0.8770829,0.3303321,24.80966,161093.3,True,0.03753867,13630.98,21,0,0,0,0
7,Pattern1,5,0.558463,0.8720528,0.3114776,23.82958,42959.94,True,0.03489552,5284.389,13,0,0,0,0
8,Pattern10,155,0.2873471,1.694847,0.5340358,41.92995,102021.6,False,0.5211188,8976.275,28,0,0,0,0
9,Pattern7,112,0.4258593,0.5178,0.197382,14.30359,19300.15,False,0.2003181,3519.664,14,0,0,0,0
10,Pattern6,96,0.062317,1.786648,0.07531142,5.405739,30597.08,True,0.04935252,3028.22,4,0,0,0,0
