TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern1,5,0.00107719,261.9043,0.2821117,22.94318,0,False,0.2808249,0,0,0,0,0,0
2,Pattern2,16,0.3077062,0.6879337,0.1907791,15.44512,0,False,0.1439264,0,0,0,0,0,0
3,Pattern3,32,0.2322361,1.02318,0.2157769,17.5104,0,False,0.2101637,0,0,0,0,0,0
4,Pattern4,48,0.4308665,0.7145178,0.2195864,17.69751,0,False,0.08485022,0,0,0,0,0,0
5,Pattern5,64,0.03848931,2.353812,0.0820995,6.418773,0,False,0.07260777,0,0,0,0,0,0
6,Pattern6,96,0.7786985,0.3231438,0.2136733,18.34309,0,False,0.1478388,0,0,0,0,0,0
7,Pattern7,112,0.03665401,1.139093,0.03250643,4.136431,0,True,0.02946413,0,0,0,0,0,0
8,Pattern8,128,0.388445,0.3047258,0.2547273,22.2331,0,False,0.4722581,0,0,0,0,0,0
9,Pattern9,144,0.390092,1.427612,0.6990615,66.27209,0,False,0.7613775,0,0,0,0,0,0
10,Pattern10,155,0.04153972,18.8083,0.7792466,80.15869,0,False,0.7812913,0,0,0,0,0,0
