TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern5,64,0.5737712,0.1940468,0.3096056,23.20345,16436.32,False,0.4108963,3433.62,24,0,0,0,0
2,Pattern4,48,0.1308838,1.684777,0.1344229,9.702683,51251.91,False,0.09231096,5212.244,8,0,0,0,0
3,Pattern6,96,0.09650092,1.153756,0.04120375,2.957501,22489.99,True,0.01519885,2053.715,6,0,0,0,0
4,Pattern9,144,0.5398392,0.7601916,0.2158673,15.95332,32893.39,False,0.1085922,4552.635,27,0,0,0,0
5,Pattern1,5,0.5584781,0.8720294,0.2203262,16.71917,18688.27,True,0.03489552,4904.681,17,0,0,0,0
6,Pattern7,112,0.06897438,3.196984,0.1811858,13.1013,4845.739,False,0.1534705,972.4987,11,0,0,0,0
7,Pattern10,155,0.3827874,1.272271,0.2705663,20.30783,20437.42,False,0.1400722,4077.889,18,0,0,0,0
8,Pattern8,128,0.3210315,1.013575,0.134718,9.868258,10446.9,True,0.01406653,2165.581,28,0,0,0,0
9,Pattern2,16,0.1598416,2.652223,0.3477856,25.89703,13650.72,False,0.2808466,2202.341,7,0,0,0,0
10,Pattern3,32,0.1784063,1.823867,0.2303805,16.81411,65541.57,False,0.1763901,5376.815,19,0,0,0,0
