TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern9,144,0.8960497,0.4731161,0.1062518,7.69875,167803.3,False,0.1113385,18323.53,27,0,0,0,0
2,Pattern6,96,0.1169037,0.9726683,0.1320496,9.502685,21353.18,False,0.146955,2580.259,13,0,0,0,0
3,Pattern1,5,0.5376793,0.8701929,0.09941761,7.293317,1127756,True,0.03353681,97525.2,18,0,0,0,0
4,Pattern5,64,0.3507059,0.4724286,0.3775976,28.4391,47279.23,False,0.4666078,5037.211,33,0,0,0,0
5,Pattern7,112,0.5899987,0.3732857,0.5935627,48.96102,970028.6,False,0.6564346,91723.91,28,0,0,0,0
6,Pattern4,48,0.6055179,0.3641675,0.4946426,40.43575,144225,False,0.6518806,16314.09,26,0,0,0,0
7,Pattern2,16,0.585733,0.7237288,0.2110559,15.53029,62835.66,False,0.1113385,8725.238,38,0,0,0,0
8,Pattern8,128,0.6342826,0.5130038,0.1481297,10.73306,625315.6,False,0.2122234,60285,38,0,0,0,0
9,Pattern10,155,0.6278249,0.7757087,0.1167489,8.514018,673631.5,True,0.02955413,59748.98,30,0,0,0,0
10,Pattern3,32,0.8181828,0.3970671,0.2202641,16.09375,54399.82,False,0.1386148,6582.616,39,0,0,0,0
