TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern2,16,0.528935,0.8014889,0.152097,11.21895,8325.166,False,0.08199676,2187.466,40,0,0,0,0
2,Pattern10,155,0.3821634,1.274348,0.3859373,29.30426,6483.066,False,0.140698,1461.595,41,0,0,0,0
3,Pattern1,5,0.5700417,0.8703524,0.3114079,23.67906,38322.95,True,0.03489552,4912.895,36,0,0,0,0
4,Pattern3,32,0.5584645,0.5826501,0.2592561,18.99279,20840.71,False,0.2205099,3784.613,17,0,0,0,0
5,Pattern4,48,0.5584598,0.3948537,0.2348461,17.13416,30084.12,False,0.3253894,3676.136,14,0,0,0,0
6,Pattern9,144,0.5584933,0.7590701,0.3312579,24.83787,8544.123,False,0.1113385,1534.741,32,0,0,0,0
7,Pattern8,128,0.3789936,0.8585618,0.2534886,18.62253,4374.938,True,0.04692351,936.2252,37,0,0,0,0
8,Pattern7,112,0.04032864,5.467826,0.2182111,15.8296,2739.013,False,0.1797843,430.1087,9,0,0,0,0
9,Pattern6,96,0.2666996,0.08373882,0.05195588,3.744293,7241.557,False,0.2429735,876.4877,29,0,0,0,0
10,Pattern5,64,0.3421531,0.3254054,0.1060953,7.626791,13935.47,False,0.2354178,1764.152,22,0,0,0,0
