TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern2,16,0.5559932,0.7586806,0.2055516,15.04508,36007.97,False,0.1113385,6110.938,38,0,0,0,0
2,Pattern5,64,0.5560183,0.1958977,0.2677944,20.0511,271590.5,False,0.4239355,26590.7,11,0,0,0,0
3,Pattern1,5,0.5584635,0.8720521,0.2268972,17.25445,33019.57,True,0.03489552,5558.403,20,0,0,0,0
4,Pattern9,144,0.7054434,0.6012027,0.4860763,37.62774,42243.62,False,0.4129688,8377.419,37,0,0,0,0
5,Pattern7,112,0.9804012,0.2249181,0.201111,14.59733,90309.41,False,0.3253894,11566.91,40,0,0,0,0
6,Pattern8,128,0.7195216,0.4522302,0.25583,18.82999,32450.01,True,0.04686303,8944.077,41,0,0,0,0
7,Pattern10,155,0.5122622,0.8624515,0.1374826,10.25803,108865.7,True,0.03489559,14127.41,16,0,0,0,0
8,Pattern4,48,0.518267,0.3503515,0.1600334,11.58592,25159.03,False,0.3245496,5177.377,36,0,0,0,0
9,Pattern6,96,0.6145265,0.1813776,0.1632563,11.91941,49135.52,False,0.3351104,6384.214,26,0,0,0,0
10,Pattern3,32,0.547951,0.5762202,0.2152877,15.6456,54297.2,False,0.2205099,7002.386,22,0,0,0,0
