TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern1,5,0.4035116,1.206928,0.4074962,30.99397,12830.7,False,0.3118078,3335.914,29,0,0,0,0
2,Pattern5,64,0.1014022,1.097989,0.07607294,5.459635,7955.47,False,0.06076183,1288.622,29,0,0,0,0
3,Pattern10,155,0.2421173,2.091604,0.4639736,35.57019,7780.818,False,0.3086953,2304.046,38,0,0,0,0
4,Pattern7,112,0.1329239,1.570985,0.2234475,16.22663,17711,False,0.1717093,2374.956,27,0,0,0,0
5,Pattern6,96,0.07036506,3.044483,0.2055037,14.88849,9568.998,False,0.1694984,1780.318,22,0,0,0,0
6,Pattern8,128,0.5929842,0.548732,0.4602234,35.38869,18663.39,False,0.6229804,4510.154,45,0,0,0,0
7,Pattern9,144,0.3918188,1.081968,0.3319251,24.58268,12291.25,False,0.178681,3678.818,43,0,0,0,0
8,Pattern4,48,0.5177293,0.4121839,0.203404,14.77018,14401.99,False,0.256034,3878.999,32,0,0,0,0
9,Pattern3,32,0.3607085,0.9020841,0.137951,10.0878,24021.17,True,0.02047846,4169.62,32,0,0,0,0
10,Pattern2,16,0.4000424,1.05912,0.3119199,23.06683,16228.13,False,0.28538,4270.12,39,0,0,0,0
