TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern8,128,0.5584961,0.5826172,0.2094679,15.30856,44912.75,False,0.2205099,3959.518,59,0,0,0,0
2,Pattern2,16,0.3218143,1.366571,0.3573121,26.79503,108127.1,False,0.2179356,10300.25,33,0,0,0,0
3,Pattern9,144,0.5584849,0.7590815,0.1974733,14.59589,31555.64,False,0.1113385,4866.075,28,0,0,0,0
4,Pattern4,48,0.5736681,0.3843859,0.2168612,15.82368,45261.36,False,0.05541065,4568.325,48,0,0,0,0
5,Pattern6,96,0.5584866,0.1993576,0.2755256,20.62668,85688.65,False,0.4239355,9100.597,30,0,0,0,0
6,Pattern1,5,0.4439474,1.097904,0.3404129,25.83826,28789.63,False,0.1028235,4941.199,36,0,0,0,0
7,Pattern10,155,0.6086522,0.7987152,0.1394542,10.43246,26261.97,True,0.03489559,5108.497,37,0,0,0,0
8,Pattern3,32,0.5763165,0.5646018,0.1807875,13.12906,94903.27,False,0.2178394,9800.533,44,0,0,0,0
9,Pattern5,64,0.4258761,0.2614339,0.1986965,14.51272,119987.7,False,0.2995606,12413.15,25,0,0,0,0
10,Pattern7,112,0.5584942,0.3948295,0.2352386,17.22281,41296.26,False,0.3253894,4753.83,36,0,0,0,0
