TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern3,32,0.5584781,0.5826359,0.2391963,17.48559,25704.81,False,0.2205099,5041.917,15,0,0,0,0
2,Pattern4,48,0.5756275,0.3830775,0.2596949,19.04323,10093.84,False,0.3089333,2836.176,17,0,0,0,0
3,Pattern2,16,0.5623862,0.7538157,0.183901,13.55415,15497.43,False,0.1074721,4425.449,19,0,0,0,0
4,Pattern6,96,0.5584707,0.1993633,0.2508986,18.65004,24223.69,False,0.4239355,6650.579,11,0,0,0,0
5,Pattern9,144,0.4216604,1.005396,0.2563655,19.22528,9371.018,True,0.02513088,2299.01,19,0,0,0,0
6,Pattern1,5,0.5727827,0.8699215,0.1338689,10.12096,16056.43,True,0.03489552,3779.977,21,0,0,0,0
7,Pattern8,128,0.5413348,0.6010872,0.2284437,16.69243,19989.91,False,0.2039715,5220.09,15,0,0,0,0
8,Pattern5,64,0.4148324,0.2897827,0.1679342,12.18193,11808.21,False,0.2624715,2803.399,22,0,0,0,0
9,Pattern7,112,0.5584637,0.3948511,0.252148,18.45355,22686.92,False,0.3253894,4857.089,10,0,0,0,0
10,Pattern10,155,0.3351718,1.453014,0.3553015,26.89021,12828.8,False,0.186683,3247.062,12,0,0,0,0
