TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern9,144,0.5584975,0.7590644,0.2846311,21.26259,5734.563,False,0.1113385,1263.389,32,0,0,0,0
2,Pattern2,16,0.3199008,1.325209,0.249664,18.48613,6818.149,False,0.1263704,1325.639,33,0,0,0,0
3,Pattern5,64,0.4661443,0.2388497,0.1486658,10.80552,8529.336,False,0.3432602,2084.996,29,0,0,0,0
4,Pattern1,5,0.5584699,0.8720421,0.4379974,33.49497,24407.1,True,0.03489552,3209.738,28,0,0,0,0
5,Pattern3,32,0.4748136,0.6852993,0.2658092,19.4831,28958.72,False,0.1585071,4972.857,39,0,0,0,0
6,Pattern10,155,0.07648572,6.367322,0.4899813,37.77504,5536.503,False,0.5489682,721.6478,9,0,0,0,0
7,Pattern4,48,0,293.1838,0.2931833,21.4987,58157.79,False,0.2931838,5476.352,0,0,0,0,0
8,Pattern6,96,0.7432742,0.799861,0.3242304,25.36438,1097519,False,0.0729771,97961.37,47,0,0,0,0
9,Pattern7,112,0.7153025,0.3082751,0.3481066,26.12381,205394.5,True,0.008719577,18014.99,61,0,0,0,0
10,Pattern8,128,0.558495,0.5826184,0.2532388,18.57492,20019.09,False,0.2205099,2452.113,28,0,0,0,0
