TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern6,96,0.2053464,0.5421988,0.09559895,6.865008,31325.2,False,0.09301753,3445.424,10,0,0,0,0
2,Pattern3,32,0.5848477,0.556366,0.2040807,14.90924,20161.01,False,0.2136365,5720.341,26,0,0,0,0
3,Pattern4,48,0.2203096,1.01696,0.1560934,11.31872,17920.99,True,0.03233563,3465.062,16,0,0,0,0
4,Pattern10,155,0.3843735,1.267021,0.3156804,23.77348,9019.297,False,0.1385197,1945.725,38,0,0,0,0
5,Pattern1,5,0.56293,0.8651328,0.2425554,18.46496,20660.46,True,0.03079854,4504.157,20,0,0,0,0
6,Pattern9,144,0.5584944,0.7590685,0.23316,17.31324,12510.72,False,0.1113385,3060.621,29,0,0,0,0
7,Pattern2,16,0.271738,1.560089,0.2967053,22.05116,11160.65,False,0.1807572,3042.732,15,0,0,0,0
8,Pattern8,128,0.4399999,0.7395215,0.1970881,14.38128,25074.38,False,0.1046053,3920.97,31,0,0,0,0
9,Pattern7,112,0.1779411,1.23923,0.1601353,11.59638,6477.298,True,0.04543546,1415.408,19,0,0,0,0
10,Pattern5,64,0.1234199,0.9021108,0.06221481,4.463788,9748.14,True,0.04929205,1785.864,12,0,0,0,0
