TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern6,96,0,111.3385,0.1113383,8,0,False,0.1113385,0,0,0,0,0,0
2,Pattern2,16,0.1819304,2.330206,0.3332417,24.77535,19446.39,False,0.2600586,2846.258,10,0,0,0,0
3,Pattern7,112,0.5096365,0.4326809,0.2064149,14.99511,23809.67,False,0.2801765,4347.399,24,0,0,0,0
4,Pattern5,64,0.07314443,1.522173,0.06041044,4.334745,7161.663,True,0.03854146,1435.089,9,0,0,0,0
5,Pattern8,128,0.29169,1.115532,0.1943973,14.22405,15332.8,False,0.1414977,3246.695,9,0,0,0,0
6,Pattern9,144,0.2812227,1.507473,0.3105666,23.14353,8731.548,False,0.1643997,2000.819,19,0,0,0,0
7,Pattern1,5,0.5474308,0.8735361,0.214312,16.26394,14146.86,True,0.03489552,3606.165,18,0,0,0,0
8,Pattern10,155,0.2593684,1.877674,0.3871159,29.18226,8491.377,False,0.2594517,2260.375,30,0,0,0,0
9,Pattern4,48,0.4118613,0.5353985,0.1787954,12.93262,27646.91,False,0.1492231,4968.308,20,0,0,0,0
10,Pattern3,32,0.7082379,0.4594351,0.225257,16.44391,25918.03,True,0.01771592,5373.914,27,0,0,0,0
