TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern6,96,0.3828411,0.2918511,0.1262236,9.106565,35811.16,False,0.280386,4435.435,31,0,0,0,0
2,Pattern5,64,0.3820482,0.2473006,0.1788588,12.99073,14768.98,False,0.2817817,1694.521,49,0,0,0,0
3,Pattern3,32,0.2558342,0.8983446,0.05884757,4.236272,148680.7,True,0.023103,12506.37,38,0,0,0,0
4,Pattern8,128,0.04736055,7.270259,0.3228475,23.80454,43674.95,False,0.3008378,4132.894,78,0,0,0,0
5,Pattern4,48,0.047367,4.818651,0.2508903,18.27985,0,False,0.2733985,0,80,0,0,0,0
6,Pattern2,16,0.5585007,0.7590598,0.2072542,15.29286,27842.95,False,0.1113385,3700.295,51,0,0,0,0
7,Pattern9,144,0.2678353,1.586181,0.4760446,36.69797,5939.528,False,0.6267368,1369.834,31,0,0,0,0
8,Pattern7,112,0.6407652,0.5678573,0.2122494,15.74292,504472.3,True,0.03437549,47086.37,53,0,0,0,0
9,Pattern1,5,0.5370044,0.8748248,0.1897582,14.16841,18394.06,True,0.03489552,4632.237,36,0,0,0,0
10,Pattern10,155,0.3777938,1.367818,0.5250545,41.11412,45799.58,False,0.257533,6178.155,33,0,0,0,0
