Timestamp,TargetElbowAngle,TargetPosX,TargetPosZ,ActualPosX,ActualPosZ,ActualElbowAngle,PositionError,JointSpaceError,ElbowVel,ElbowJerk,PathLength,OptimalPathLength,PathEfficiency
0.01495361,96,-0.1588089,0.2031887,-0.1539963,0.3195248,79.26238,0.1164356,8.368809,-1823.886,-53943.94,0.001065664,0.1153812,108.2716
0.0279541,96,-0.1588089,0.2031887,-0.1537704,0.3207068,79.09,0.1176261,8.454998,-13.22063,47708.63,0.002269147,0.1153812,50.84784
0.04205322,96,-0.1588089,0.2031887,-0.1535594,0.3217928,78.93153,0.1187203,8.534233,-11.23942,554.0954,0.003375434,0.1153812,34.18262
0.05474854,96,-0.1588089,0.2031887,-0.153321,0.3230017,78.75504,0.1199387,8.622482,-13.88855,1351.516,0.004607633,0.1153812,25.04132
0.07006836,96,-0.1588089,0.2031887,-0.1531005,0.3241032,78.59414,0.1210492,8.70293,-10.53779,1146.349,0.005730918,0.1153812,20.13311
0.08392334,96,-0.1588089,0.2031887,-0.152833,0.3254175,78.40202,0.1223748,8.798992,-13.83128,1071.899,0.007072147,0.1153812,16.31487
0.09973145,96,-0.1588089,0.2031887,-0.1525918,0.326584,78.23138,0.1235519,8.884308,-10.79181,1182.2,0.008263407,0.1153812,13.96291
0.1140747,96,-0.1588089,0.2031887,-0.1523249,0.3278548,78.04539,0.1248347,8.977306,-12.98563,718.8703,0.009561923,0.1153812,12.06674
0.1265259,96,-0.1588089,0.2031887,-0.1520951,0.3289328,77.8875,0.1259233,9.056248,-12.679,1316.105,0.01066413,0.1153812,10.81956
0.1385498,96,-0.1588089,0.2031887,-0.1519085,0.3297975,77.7608,0.1267968,9.119598,-10.52879,1310.973,0.01154872,0.1153812,9.990821
0.1516724,96,-0.1588089,0.2031887,-0.1517416,0.3305631,77.64856,0.1275703,9.17572,-8.559919,196.7268,0.01233226,0.1153812,9.35605
0.1671143,96,-0.1588089,0.2031887,-0.1515749,0.3313212,77.53737,0.1283366,9.231316,-7.204603,-441.9751,0.01310852,0.1153812,8.802002
0.1799927,96,-0.1588089,0.2031887,-0.151397,0.3321222,77.41985,0.1291464,9.290077,-9.118525,-558.634,0.01392899,0.1153812,8.283526
0.1924438,96,-0.1588089,0.2031887,-0.1512652,0.3327108,77.33344,0.1297416,9.333279,-6.933031,1139.933,0.01453221,0.1153812,7.939689
0.2080078,96,-0.1588089,0.2031887,-0.1511552,0.3331985,77.26184,0.1302349,9.36908,-4.599623,495.1819,0.01503213,0.1153812,7.675639
0.2216797,96,-0.1588089,0.2031887,-0.1510406,0.3337041,77.18758,0.1307464,9.406212,-5.430917,-914.9825,0.01555054,0.1153812,7.419755
0.2350464,96,-0.1588089,0.2031887,-0.1509583,0.3340652,77.13452,0.1311118,9.432739,-3.975334,180.67,0.01592097,0.1153812,7.247122
0.2501221,96,-0.1588089,0.2031887,-0.1508944,0.3343445,77.09349,0.1313944,9.453255,-2.718033,-355.8422,0.01620742,0.1153812,7.119036
0.2626343,96,-0.1588089,0.2031887,-0.1508389,0.3345862,77.05796,0.131639,9.47102,-2.841839,-835.4503,0.01645544,0.1153812,7.011736
0.2768555,96,-0.1588089,0.2031887,-0.1508053,0.3347324,77.03648,0.131787,9.481758,-1.511712,249.929,0.01660541,0.1153812,6.948411
0.2911377,96,-0.1588089,0.2031887,-0.1507793,0.3348451,77.01991,0.131901,9.490044,-1.158993,-849.5753,0.01672108,0.1153812,6.900345
0.3056641,96,-0.1588089,0.2031887,-0.1507637,0.3349131,77.00991,0.1319699,9.495045,-0.6887765,-431.8931,0.01679092,0.1153812,6.871642
0.3195801,96,-0.1588089,0.2031887,-0.150756,0.3349463,77.00504,0.1320035,9.497478,-0.3501333,-516.9772,0.01682493,0.1153812,6.857753
0.3325806,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,-0.1081918,-600.1407,0.01683475,0.1153812,6.853754
0.3466187,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,-688.5505,0.01683475,0.1153812,6.853754
0.3608398,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,-556.5624,0.01683475,0.1153812,6.853754
0.3740845,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.3896484,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.4033813,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.4155884,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.430542,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.4452515,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.4575195,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.4718628,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.4865112,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.5004272,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.5125122,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.5275879,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.5413818,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.5548706,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.5689697,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.583313,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.5961304,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.6117554,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.6253052,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.6387939,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.6522827,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
0.6663208,96,-0.1588089,0.2031887,-0.1507538,0.3349558,77.00363,0.1320132,9.498184,0,0,0.01683475,0.1153812,6.853754
