TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern3,32,0.2248412,1.447613,0.2374235,17.39942,9347.317,False,0.1100136,2718.968,3,0,0,0,0
2,Pattern9,144,0.4883617,0.8680769,0.3330043,24.92423,9354.375,True,0.02512666,2572.299,5,0,0,0,0
3,Pattern4,48,0.08910839,2.474626,0.2051776,14.86823,12731.53,False,0.1336638,2228.813,2,0,0,0,0
4,Pattern1,5,0.3388002,1.278853,0.3457481,25.70454,23469.13,False,0.1186145,5001.21,4,0,0,0,0
5,Pattern5,64,0.4055408,0.1961326,0.185164,13.56122,92335.88,False,0.3168141,7447.804,3,0,0,0,0
6,Pattern7,112,0.3290284,0.6701853,0.1606247,11.60654,15798.54,False,0.05550181,3543.196,4,0,0,0,0
7,Pattern10,155,0.3786218,1.286268,0.3353094,25.12407,11268.02,False,0.1688905,3111.197,6,0,0,0,0
8,Pattern8,128,0.4837045,0.6727028,0.4175483,31.52529,63720.88,False,0.4306012,6743.372,6,0,0,0,0
9,Pattern6,96,0.5618382,0.1955602,0.2382773,17.71225,50179.14,False,0.4239355,4585.729,5,0,0,0,0
10,Pattern2,16,0.6048584,0.7464789,0.1806158,13.19076,115459.7,False,0.1113385,9436.1,5,0,0,0,0
