TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern2,16,0.1023744,4.141029,0.392107,29.38645,11759.4,False,0.3373666,2446.304,10,0,0,0,0
2,Pattern5,64,0.1525499,0.7298495,0.05873903,4.217164,14705.7,True,0.02191533,3271.579,18,0,0,0,0
3,Pattern10,155,0.558481,0.8720247,0.2189242,16.62471,9091.766,True,0.03489559,2445.56,23,0,0,0,0
4,Pattern9,144,0.4872696,0.8700226,0.1874123,13.96019,77834.11,True,0.04045649,6206.183,30,0,0,0,0
5,Pattern8,128,0.2530441,1.2859,0.2083052,15.24252,9103.721,False,0.08191394,1954.157,36,0,0,0,0
6,Pattern7,112,0.4291919,0.5137794,0.1853882,13.42029,13850.2,False,0.2035375,2370.532,24,0,0,0,0
7,Pattern4,48,0.02026584,10.88087,0.2166813,15.71535,4556.979,False,0.2121753,714.6528,11,0,0,0,0
8,Pattern3,32,0.2202078,1.477647,0.2239171,16.36622,16866.35,False,0.1461448,3705.016,27,0,0,0,0
9,Pattern1,5,0.2723298,1.788307,0.3816142,28.7859,17360.24,False,0.2614338,2911.665,19,0,0,0,0
10,Pattern6,96,0.06573042,1.693866,0.09867149,7.08592,7975.618,False,0.08738359,1737.758,12,0,0,0,0
