TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern4,48,0.628675,0.3653585,0.2131069,15.55686,100345.1,False,0.3194867,10669.24,41,0,0,0,0
2,Pattern9,144,0.5711958,0.7421895,0.246882,18.39624,29151.66,False,0.1113385,5127.218,42,0,0,0,0
3,Pattern8,128,0.5431769,0.5731667,0.18595,13.53144,10638.43,False,0.2205099,2723.597,43,0,0,0,0
4,Pattern3,32,0.6331713,0.5139042,0.2121586,15.43513,124201.7,False,0.1733903,12691.66,38,0,0,0,0
5,Pattern7,112,0.3306051,0.666989,0.113121,8.174556,17916.1,True,0.001851801,3020.928,34,0,0,0,0
6,Pattern1,5,0.2127042,2.402916,0.4600667,35.22686,8759.446,False,0.3970355,1812.425,37,0,0,0,0
7,Pattern6,96,0.5656964,0.1968168,0.2554584,19.06501,64303.19,False,0.4239355,6791.791,41,0,0,0,0
8,Pattern10,155,0.5198225,0.8765284,0.2042287,15.26832,35954.45,True,0.03489559,4833.919,40,0,0,0,0
9,Pattern5,64,0.5675808,0.1960649,0.2067191,15.14962,37438.91,False,0.3553606,4899.432,37,0,0,0,0
10,Pattern2,16,0.3131118,1.450221,0.4144509,31.23501,276475.3,False,0.3862961,26728.52,39,0,0,0,0
