TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern10,155,0.4058865,1.199866,0.3347392,25.16086,14293.53,False,0.2054717,3378.176,36,0,0,0,0
2,Pattern4,48,0.130162,1.765899,0.2104649,15.26089,6876.717,False,0.1158018,1839.544,16,0,0,0,0
3,Pattern9,144,0.6735155,0.6294369,0.3254551,24.51649,7054.124,False,0.1113385,2318.706,57,0,0,0,0
4,Pattern6,96,0.557748,0.1981299,0.1585593,11.62648,25944.5,False,0.4038076,3476.097,34,0,0,0,0
5,Pattern3,32,0.06864914,4.954131,0.3342635,24.69962,75585.98,False,0.3178339,7390.431,17,0,0,0,0
6,Pattern8,128,0.8207523,0.4446019,0.2614381,19.50275,115792.4,True,0.03162351,10907.88,42,0,0,0,0
7,Pattern5,64,0.5584653,0.199365,0.2062192,15.28239,16799.53,False,0.4239355,3564.652,12,0,0,0,0
8,Pattern7,112,0.1243562,1.799739,0.2507754,18.27699,219344.6,False,0.2098847,21131.98,27,0,0,0,0
9,Pattern1,5,0.5631893,0.8713508,0.3220067,24.48351,18020.54,True,0.03489552,4064.284,26,0,0,0,0
10,Pattern2,16,0.5542917,0.7577205,0.2708938,20.15496,74158.92,False,0.1113385,6876.382,28,0,0,0,0
