TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern2,16,0.3329127,1.262137,0.2556605,18.94217,28038.77,False,0.1179467,3285.415,39,0,0,0,0
2,Pattern7,112,0.3493738,0.6311719,0.1352047,9.756924,22061.16,False,0.1234603,3716.221,23,0,0,0,0
3,Pattern10,155,0.4322982,1.134219,0.3667069,27.83757,12646.37,False,0.09877515,2914.461,33,0,0,0,0
4,Pattern8,128,0.215782,1.507954,0.2488789,18.2251,7894.029,False,0.1314139,1954.984,23,0,0,0,0
5,Pattern5,64,0.2997566,0.3714295,0.1154107,8.307359,23376.19,False,0.1869428,2682.006,38,0,0,0,0
6,Pattern6,96,0.07489313,1.486632,0.0903498,6.486301,5865.599,False,0.08458579,948.4034,27,0,0,0,0
7,Pattern1,5,0.3546198,1.373271,0.3692133,27.76301,9882.879,False,0.167699,1773.178,44,0,0,0,0
8,Pattern3,32,0.3260611,0.9979398,0.1989856,14.57922,4224.84,True,0.009040982,1158.849,44,0,0,0,0
9,Pattern4,48,0.1161929,1.897791,0.1714677,12.39158,22281.04,False,0.1068886,2091.295,38,0,0,0,0
10,Pattern9,144,0.1984732,2.150673,0.3686127,27.5953,17812.56,False,0.2536529,2101.833,18,0,0,0,0
