TrialNumber,PatternName,TargetJoint2,PathLength,PathEfficiency,AveragePositionError,AverageJointSpaceError,PeakJerk,TaskSuccess,FinalDistance,MovementSmoothness,NumberOfSubmovements,FBActivationRate,MovementDuringFB,AverageFBIntensity,FinalFBVibrator
1,Pattern6,96,0.4114385,0.270608,0.1706965,12.41934,21911.66,False,0.2927857,4299.218,20,0,0,0,0
2,Pattern9,144,0.5514576,0.7687545,0.5704384,48.72786,60913.51,False,0.7586473,6067.524,19,0,0,0,0
3,Pattern8,128,0.3458234,0.9409121,0.1780414,13.01963,69631.29,False,0.09058564,9575.24,20,0,0,0,0
4,Pattern7,112,0.0009907061,220.51,0.2200811,15.96799,1639.253,False,0.2195575,171.6805,3,0,0,0,0
5,Pattern2,16,0.0135421,31.305,0.419264,31.60752,4859.09,False,0.4123909,624.8519,3,0,0,0,0
6,Pattern10,155,0.05657451,8.60828,0.502102,38.87933,12051.37,False,0.517925,2069.589,14,0,0,0,0
7,Pattern5,64,0.2591582,0.4296158,0.1165606,8.381273,29183.14,False,0.1381844,3772.185,10,0,0,0,0
8,Pattern1,5,0.5584715,0.8720396,0.2911711,22.15562,39566.96,True,0.03489552,8673.895,18,0,0,0,0
9,Pattern3,32,0.3641548,0.893547,0.2180799,16.04526,41476.04,True,0.02905736,5190.577,15,0,0,0,0
10,Pattern4,48,0.3471134,0.6352677,0.146271,10.56284,53617.37,False,0.1232288,6906.49,14,0,0,0,0
